filename,width,height,class,xmin,ymin,xmax,ymax
acb84d77-5b1c-4beb-be27-99fee467bf1f___RS_Early.B 7577.JPG,256,256,Potato___Early_blight,26,26,226,238
acd7a42b-15eb-40e4-823c-49eff6b4e95e___RS_LB 4636.JPG,256,256,Potato___Late_blight,17,32,237,202
acf05b32-0d7e-423c-96b2-f78b6fdf975d___RS_LB 5309.JPG,256,256,Potato___Late_blight,23,9,236,238
aceeb511-1332-4d25-b9fe-64d53445396a___RS_LB 4837.JPG,256,256,Potato___Late_blight,19,13,243,239
ad628434-32ce-4365-90b0-f394d98fbe00___RS_LB 4905.JPG,256,256,Potato___Late_blight,27,28,230,232
ad2396a9-306e-4ca9-88dc-56b2bde77c6b___RS_LB 2755.JPG,256,256,Potato___Late_blight,17,12,241,251
acff9d5e-4b38-4817-a239-93c115a0b3ff___RS_Early.B 8993.JPG,256,256,Potato___Early_blight,21,26,232,247
ad8c76f3-16b3-4d7f-a9e9-cbec8c398d34___RS_Early.B 6694.JPG,256,256,Potato___Early_blight,22,32,225,218
ad9b6cf4-e065-496d-91c7-5713ce14e19e___RS_HL 1926.JPG,256,256,healthy,21,25,243,245
adc573cd-bbf3-4742-9bd5-1e3e6f27319a___RS_Early.B 8685.JPG,256,256,Potato___Early_blight,21,36,230,238
ae25f262-234e-4ee1-96ad-3e47ddfbea9d___RS_Early.B 6670.JPG,256,256,Potato___Early_blight,24,41,230,212
ae20cc4e-fe37-48f0-9566-2d2efc5afd38___RS_LB 4290.JPG,256,256,Potato___Late_blight,44,25,227,229
ae5a9be8-5bd6-4542-8766-6c7bb8c61ded___RS_Early.B 8182.JPG,256,256,Potato___Early_blight,17,19,225,238
ae38f458-d36e-43ce-95a5-45b775692d8d___RS_Early.B 8644.JPG,256,256,Potato___Early_blight,19,26,237,225
ae52f85f-bce0-4fb9-a109-009e099a72e6___RS_LB 4972.JPG,256,256,Potato___Late_blight,37,11,238,251
ae805316-66e9-4aaf-b938-8460734b90ec___RS_LB 3004.JPG,256,256,Potato___Late_blight,19,12,245,238
ae5b08fa-25b7-4006-8b1b-2415356b3847___RS_LB 5453.JPG,256,256,Potato___Late_blight,6,11,250,242
ae966e38-73b3-47c1-9421-20ac2f570f46___RS_LB 3240.JPG,256,256,Potato___Late_blight,14,7,248,247
ae80781d-725e-486e-9677-4149b0d751ef___RS_LB 5442.JPG,256,256,Potato___Late_blight,5,1,249,248
ae9e4c46-171c-460c-a37f-ddf13c260411___RS_LB 4961.JPG,256,256,Potato___Late_blight,13,20,233,251
aed93c24-f226-4dd4-b5fb-b1f2d1202c63___RS_Early.B 8363.JPG,256,256,Potato___Early_blight,27,55,217,238
aec94baf-a0e8-43af-80af-4bab46d84ad8___RS_LB 5100.JPG,256,256,Potato___Late_blight,26,6,251,252
af13137c-1561-4c1c-b85b-5ec8930f2b38___RS_LB 5425.JPG,256,256,Potato___Late_blight,16,13,252,255
af0ee942-50f5-43a7-a9fe-486ba1f5f989___RS_Early.B 7700.JPG,256,256,Potato___Early_blight,21,28,221,245
af15ac00-67ff-4114-ace8-6dca48b94665___RS_HL 1865.JPG,256,256,healthy,8,5,212,244
af17b876-b0e7-43ce-95e8-8591066dfdc9___RS_LB 3976.JPG,256,256,Potato___Late_blight,10,24,229,214
af3bb3a3-e022-45f3-b209-6b3b53f13a47___RS_Early.B 7333.JPG,256,256,Potato___Early_blight,22,34,225,233
af79e762-c2f7-4e37-926b-ce27dbc52fc4___RS_Early.B 6858.JPG,256,256,Potato___Early_blight,19,31,240,231
b0137e92-ce1b-4523-95f0-7a827c206ee0___RS_LB 2913.JPG,256,256,Potato___Late_blight,29,21,233,240
afc0f88e-8a22-44d1-8575-8945058360c7___RS_LB 4895.JPG,256,256,Potato___Late_blight,11,10,235,243
afcad9ca-9bd2-4c7b-b034-2b3d0360ac30___RS_LB 2741.JPG,256,256,Potato___Late_blight,25,13,238,238
b03529cf-21fd-4c94-a948-461a8d17e01c___RS_LB 4828.JPG,256,256,Potato___Late_blight,22,9,233,243
b0945b27-3331-4f03-b1c9-1465e12577aa___RS_LB 4355.JPG,256,256,Potato___Late_blight,30,23,241,248
b09e0cba-0564-4dde-a90d-3c0d90d6336e___RS_Early.B 7776.JPG,256,256,Potato___Early_blight,34,40,220,243
b05850b8-bfb9-487d-b0ba-8f406eba933e___RS_Early.B 6936.JPG,256,256,Potato___Early_blight,23,17,236,239
b0e6c386-35dc-4982-acc6-f393c7f58c67___RS_LB 5036.JPG,256,256,Potato___Late_blight,29,17,244,237
b0db9fbb-ff7f-4b5c-901c-19c7797c1d4a___RS_LB 2969.JPG,256,256,Potato___Late_blight,12,9,238,246
b0fe9fe9-52e7-40e4-b4c0-769f1a0c7fb9___RS_HL 4175.JPG,256,256,healthy,16,12,218,200
b101bc59-5734-4c39-896f-de29d98b1dce___RS_LB 4702.JPG,256,256,Potato___Late_blight,13,14,234,230
b0eebb8f-c322-4b56-8897-2cc98d474440___RS_LB 5286.JPG,256,256,Potato___Late_blight,24,12,227,220
b14b93eb-5c1b-4df8-a30f-17afd953e7fc___RS_LB 4101.JPG,256,256,Potato___Late_blight,25,33,232,217
b11189c8-ab6f-4d69-9ffa-e52749d2a3a5___RS_LB 4537.JPG,256,256,Potato___Late_blight,20,30,234,234
b14e0de2-ab48-45b5-9d4d-e45e7c88b68f___RS_Early.B 8554.JPG,256,256,Potato___Early_blight,8,4,226,234
b167bd40-798f-4e70-a735-f191350dd057___RS_LB 4017.JPG,256,256,Potato___Late_blight,25,35,251,231
b17bf28e-c272-4a24-9f45-7d3a343de49f___RS_Early.B 7620.JPG,256,256,Potato___Early_blight,25,17,212,234
b1b3c9c7-a4b9-4048-be45-fa9c5e507c66___RS_Early.B 7466.JPG,256,256,Potato___Early_blight,21,28,213,212
b1b55149-b5bc-460e-87af-a745fb01855d___RS_Early.B 7477.JPG,256,256,Potato___Early_blight,24,46,219,236
b22a71a5-31a9-40c5-a3df-313e52748a61___RS_LB 4610.JPG,256,256,Potato___Late_blight,22,19,241,242
b21bc878-7b63-481e-a6d1-7e972627210e___RS_Early.B 7656.JPG,256,256,Potato___Early_blight,5,14,236,241
b2492a9e-c038-48a7-8524-8f0aca7dc870___RS_LB 4291.JPG,256,256,Potato___Late_blight,52,19,229,239
b294595b-8950-4e5b-8dfc-2ad9ca2c5e0a___RS_LB 4475.JPG,256,256,Potato___Late_blight,30,16,246,226
b28c43f9-5844-4e9b-86bf-36bc114cae07___RS_HL 1736.JPG,256,256,healthy,26,13,229,233
b2b7758e-f201-4d9c-bc27-d53bb09b2dac___RS_Early.B 7025.JPG,256,256,Potato___Early_blight,19,36,229,233
b29e0fdf-c39f-4b3a-b12f-c693374f15cf___RS_Early.B 8820.JPG,256,256,Potato___Early_blight,21,17,231,218
b2e6d502-8a02-4493-ae91-34bad50b6040___RS_Early.B 7537.JPG,256,256,Potato___Early_blight,19,12,234,231
b2e21749-afe2-4392-8d5d-23088d37873c___RS_Early.B 9028.JPG,256,256,Potato___Early_blight,1,33,227,236
b301c9cd-7624-4261-ab4f-962936ebb92a___RS_Early.B 7632.JPG,256,256,Potato___Early_blight,25,25,211,245
b334273e-833f-48fc-b6fb-7d7a31e1a541___RS_LB 4112.JPG,256,256,Potato___Late_blight,45,27,231,228
b328c22c-c9c6-41fd-9bac-daf2f26143b1___RS_Early.B 6854.JPG,256,256,Potato___Early_blight,21,68,225,237
b3123a68-bf01-4d71-a561-e1e7363a6419___RS_LB 2586.JPG,256,256,Potato___Late_blight,26,23,227,248
b340ff00-3d44-4394-90c5-797dc39f8389___RS_LB 4953.JPG,256,256,Potato___Late_blight,24,13,229,232
b35b9f8b-daca-4d12-a5be-defe68d0acc5___RS_HL 1903.JPG,256,256,healthy,43,12,250,241
b39bbf50-eae1-49ca-bd12-e776e3680d8b___RS_Early.B 6775.JPG,256,256,Potato___Early_blight,31,23,253,227
b35e4c48-e54e-4e42-a399-b236209314f4___RS_Early.B 8231.JPG,256,256,Potato___Early_blight,20,20,225,247
b367b969-aec9-4555-9ea2-0a982b38be62___RS_LB 4682.JPG,256,256,Potato___Late_blight,44,25,224,231
b3d44557-f696-4fc9-b144-dec4f4ba9452___RS_Early.B 9110.JPG,256,256,Potato___Early_blight,24,28,213,247
b3e1ec14-6de4-4afc-9ceb-254469c8ce15___RS_LB 3910.JPG,256,256,Potato___Late_blight,14,18,232,247
b402845e-5414-423e-9f6d-29e3bdbb505b___RS_LB 2825.JPG,256,256,Potato___Late_blight,13,12,243,236
b4021eae-d195-400a-b7b7-9888367f5f2f___RS_Early.B 7881.JPG,256,256,Potato___Early_blight,15,21,245,230
b41284a3-27e9-4f0c-8946-4deb0b8fc238___RS_LB 2839.JPG,256,256,Potato___Late_blight,21,24,238,246
b42621c3-f751-46e1-a8d2-83ed85b90554___RS_HL 1740.JPG,256,256,healthy,13,14,237,241
b4031970-60ea-4739-9fed-6c81be1bad1c___RS_HL 1752.JPG,256,256,healthy,5,21,207,232
b469e38c-ef99-4ed1-b294-1e65727138fb___RS_LB 4056.JPG,256,256,Potato___Late_blight,32,34,227,220
b472654c-a32f-4c8f-b424-da6e415febf9___RS_Early.B 8930.JPG,256,256,Potato___Early_blight,10,19,249,242
b475147c-92bc-419a-b2c3-7d5aabbb79ec___RS_Early.B 7379.JPG,256,256,Potato___Early_blight,18,34,235,223
b4adb8c4-2cea-4027-b0fd-528406b14c86___RS_LB 4066.JPG,256,256,Potato___Late_blight,32,18,241,249
b4e52186-de58-4c06-bbd2-2fb3dbeda13e___RS_LB 2655.JPG,256,256,Potato___Late_blight,17,12,246,236
b5127f55-debe-459a-98e5-4629750f9c38___RS_Early.B 7496.JPG,256,256,Potato___Early_blight,35,28,250,227
b5190917-8638-44bf-b16a-8004d2b6a58f___RS_LB 5241.JPG,256,256,Potato___Late_blight,11,13,242,233
b512ab1a-0ea5-47d6-b998-7c9f32ed3329___RS_Early.B 7250.JPG,256,256,Potato___Early_blight,24,25,241,217
b536ea91-c5f8-413b-87f3-a22ac3d959d1___RS_HL 1825.JPG,256,256,healthy,15,20,241,244
b5442887-db0b-4b94-a6f1-18505731a599___RS_LB 4969.JPG,256,256,Potato___Late_blight,37,13,234,249
b574ad16-1c07-4f70-bf1d-e2314d2dd81f___RS_LB 2849.JPG,256,256,Potato___Late_blight,32,17,238,234
b54a2105-b9a4-4665-9e34-44df46d0be5a___RS_Early.B 8507.JPG,256,256,Potato___Early_blight,22,35,224,240
b549ab3b-06f1-45ef-bf34-86071552d870___RS_Early.B 8576.JPG,256,256,Potato___Early_blight,27,41,211,245
b57c6336-3be6-4021-b240-8547da86d218___RS_LB 5007.JPG,256,256,Potato___Late_blight,14,16,250,220
b598f9a7-b582-4fef-9c3d-cc985f2f9c03___RS_LB 3294.JPG,256,256,Potato___Late_blight,21,14,255,252
b5f127d1-1b1a-4baa-9158-58cf4b679990___RS_LB 4488.JPG,256,256,Potato___Late_blight,34,33,222,224
b59e4b5d-4ef0-4b8f-a111-ee745e3d0334___RS_LB 4891.JPG,256,256,Potato___Late_blight,14,18,217,237
b61b9d33-59ea-41b0-a554-c382eb6128c5___RS_HL 1919.JPG,256,256,healthy,34,19,239,248
b64e4518-147a-4a75-9f9b-33db8902aa12___RS_LB 3202.JPG,256,256,Potato___Late_blight,25,21,236,225
b6220993-c51f-48fa-bee9-fb5cb89cc0c4___RS_Early.B 7467.JPG,256,256,Potato___Early_blight,24,20,230,233
b692a411-91aa-4388-b641-a6c02286840c___RS_Early.B 7784.JPG,256,256,Potato___Early_blight,8,14,228,239
b65fddcf-cc40-4632-a0c4-70fff2f68009___RS_LB 4481.JPG,256,256,Potato___Late_blight,8,30,217,231
b69f17e7-b4e1-4911-91e4-01976bacba2d___RS_LB 5053.JPG,256,256,Potato___Late_blight,34,21,219,231
b6ad95ed-8f05-42a1-ac35-581696454497___RS_LB 3855.JPG,256,256,Potato___Late_blight,14,11,217,233
b6b036b0-6869-48b8-b861-a6a85d1b2b97___RS_Early.B 6850.JPG,256,256,Potato___Early_blight,23,26,237,236
b6c68639-ad01-41f9-a10c-4233423ea2b0___RS_Early.B 8573.JPG,256,256,Potato___Early_blight,35,24,246,241
b6b4aa28-edc4-4e9f-bc0d-bd4b0ec085a2___RS_Early.B 7559.JPG,256,256,Potato___Early_blight,19,22,222,223
b6b937ed-f629-4136-8d5a-38b734f7f662___RS_LB 4595.JPG,256,256,Potato___Late_blight,15,26,238,241
b74d0fd1-9af7-4053-8538-ee937236a64d___RS_LB 4918.JPG,256,256,Potato___Late_blight,21,9,240,244
b7157976-61c2-4366-87c5-e3de23aa7c10___RS_Early.B 7227.JPG,256,256,Potato___Early_blight,27,10,225,230
b76550de-8e3a-46f1-b06f-6bd4ed3dc8a5___RS_Early.B 8456.JPG,256,256,Potato___Early_blight,33,39,219,249
b7712e86-f508-4485-8a42-5dd447f3b510___RS_Early.B 7103.JPG,256,256,Potato___Early_blight,34,33,236,226
b7883606-5157-4dc1-b965-fc10f8fe1796___RS_Early.B 7598.JPG,256,256,Potato___Early_blight,22,46,238,238
b811c2af-734e-4689-aa43-4ab1d4faec32___RS_LB 4719.JPG,256,256,Potato___Late_blight,17,7,240,235
b805f812-ef18-47ed-9756-1f5a5dd05b5d___RS_Early.B 7746.JPG,256,256,Potato___Early_blight,21,35,225,229
b8578828-0e34-4511-9739-9ef0170774b2___RS_Early.B 7416.JPG,256,256,Potato___Early_blight,22,33,231,221
b83aea19-9485-412f-808d-c0a590d75388___RS_Early.B 6951.JPG,256,256,Potato___Early_blight,29,39,230,237
b817817e-a6b1-4123-88e7-db98b453ce17___RS_Early.B 6880.JPG,256,256,Potato___Early_blight,19,32,217,222
b86274d3-554a-495d-8304-76484e3c4d15___RS_LB 4442.JPG,256,256,Potato___Late_blight,35,13,226,236
b86630ca-89d0-4f83-9942-c1bfcce6b06c___RS_LB 4339.JPG,256,256,Potato___Late_blight,28,15,207,252
b89db9d3-a413-4781-bc88-5f6c2085ab5f___RS_HL 1909.JPG,256,256,healthy,24,13,234,234
b89a9e11-b184-4b4d-bc56-5f27a2626982___RS_LB 2512.JPG,256,256,Potato___Late_blight,26,10,244,256
b8803558-9e0f-404e-80b3-c78d0bc7f6d0___RS_Early.B 7548.JPG,256,256,Potato___Early_blight,23,33,237,241
b8b7b98a-eb1a-4213-9b0b-aeef4df427e8___RS_HL 1858.JPG,256,256,healthy,10,6,238,256
b8b4064f-208a-46f9-b13e-5096fdbdb429___RS_LB 2591.JPG,256,256,Potato___Late_blight,30,18,224,233
b925ad3e-fc49-497d-a6eb-115f0de20800___RS_HL 4170.JPG,256,256,healthy,10,20,248,256
b8e08567-5193-41a4-b637-140b503830d9___RS_Early.B 9133.JPG,256,256,Potato___Early_blight,22,30,227,220
b9474ec5-5a67-4207-98ec-5671c19f8f59___RS_LB 2545.JPG,256,256,Potato___Late_blight,26,17,226,232
b9302a2f-a369-4b05-aed6-632287f42ed7___RS_LB 4452.JPG,256,256,Potato___Late_blight,17,45,229,225
b954c296-ae18-4efb-8a8c-450486faa919___RS_Early.B 6998.JPG,256,256,Potato___Early_blight,14,19,240,236
b95c05a8-2d70-4af5-a384-5b5b4450b7c6___RS_Early.B 7724.JPG,256,256,Potato___Early_blight,30,11,235,222
b99ba68b-4608-4335-a292-b4249d83762d___RS_Early.B 9096.JPG,256,256,Potato___Early_blight,13,10,239,244
b9939f3e-c71c-4653-acff-109a8266dddf___RS_LB 2787.JPG,256,256,Potato___Late_blight,11,8,243,245
b9ad8d86-aadb-44b4-9bba-d6adb446afd7___RS_LB 5188.JPG,256,256,Potato___Late_blight,30,20,237,225
b9aecfc3-98d5-467a-8773-ee2905918c71___RS_LB 5161.JPG,256,256,Potato___Late_blight,3,1,241,243
b9ea902d-e557-4fa5-893b-39a7a57c0121___RS_HL 1893.JPG,256,256,healthy,19,15,227,256
ba15e1af-3f3a-4eef-8be1-4f0a221444fd___RS_LB 2866.JPG,256,256,Potato___Late_blight,17,10,226,239
b9cde1e2-71f8-46a2-9fa4-0bfc7d16815f___RS_LB 2610.JPG,256,256,Potato___Late_blight,34,12,232,241
ba96aab6-adb5-4021-b6ad-3305f50aec12___RS_Early.B 7317.JPG,256,256,Potato___Early_blight,77,35,217,218
ba5dfd98-89d6-49d5-b398-beb05cb9d8ad___RS_Early.B 7824.JPG,256,256,Potato___Early_blight,9,38,232,228
bac19c19-ab8b-466a-a317-56c1f35fb082___RS_Early.B 7141.JPG,256,256,Potato___Early_blight,9,42,202,244
bb04f738-1848-4dda-8834-384a48b335cd___RS_HL 1765.JPG,256,256,healthy,16,12,228,216
baac20f4-7978-4258-8cd0-f3f8fe98bf83___RS_LB 4774.JPG,256,256,Potato___Late_blight,30,12,248,244
bb1949c9-c779-4490-b1cc-d82302bc1df9___RS_LB 2901.JPG,256,256,Potato___Late_blight,22,12,236,244
bb07a1b7-b9ad-4016-a013-9ff0e4636d4a___RS_Early.B 7156.JPG,256,256,Potato___Early_blight,24,25,204,229
bb3049f8-7377-4610-b13f-8daf6753bda7___RS_LB 4031.JPG,256,256,Potato___Late_blight,19,39,238,239
bb328d40-e4e6-4b84-a92a-e7cb3922c19d___RS_HL 1829.JPG,256,256,healthy,21,7,213,249
bb19c5f3-2937-4c87-b964-d922088f4b19___RS_LB 4950.JPG,256,256,Potato___Late_blight,37,17,243,225
bb3d6df0-683e-4f04-afaf-277a36edad6c___RS_Early.B 9070.JPG,256,256,Potato___Early_blight,25,19,234,228
bb38077f-ee91-4c0b-af46-f90b21b9e9db___RS_Early.B 7121.JPG,256,256,Potato___Early_blight,15,26,221,241
bb81b8a0-3d1e-4cef-aeb5-31ac32f1761a___RS_LB 5268.JPG,256,256,Potato___Late_blight,22,6,243,234
bb569e8c-4f57-481f-86d9-291ebd67336e___RS_Early.B 7543.JPG,256,256,Potato___Early_blight,15,19,232,225
bb4e9c01-6166-424d-a379-9ef405fdd555___RS_Early.B 6843.JPG,256,256,Potato___Early_blight,14,26,239,246
bb4aa884-a811-4229-bfc0-1df1e7330877___RS_LB 5049.JPG,256,256,Potato___Late_blight,24,12,246,238
bbdf98a1-9e54-4afd-bdfc-870d91627a52___RS_LB 2853.JPG,256,256,Potato___Late_blight,31,20,228,238
bc378ba0-533d-42db-a8b2-82decc73f4d5___RS_Early.B 9092.JPG,256,256,Potato___Early_blight,24,28,240,233
bc53f0fd-df00-42c6-ad50-aef25d2c6f7a___RS_LB 2954.JPG,256,256,Potato___Late_blight,23,10,234,237
bc5b403e-ecc2-4fde-bafa-9b8698e4545c___RS_LB 4448.JPG,256,256,Potato___Late_blight,13,20,242,243
bc7552e4-3901-41b8-8bef-727eeca4270e___RS_Early.B 7942.JPG,256,256,Potato___Early_blight,25,15,241,228
bc8a7fa5-1f77-4829-a1ee-0ccbeef289eb___RS_Early.B 7228.JPG,256,256,Potato___Early_blight,13,18,232,233
bc91cb1b-aece-4108-92db-839a106351a5___RS_LB 3087.JPG,256,256,Potato___Late_blight,25,17,237,235
bcc2199e-a6c6-4e0d-a7a7-f7c4b25f2c04___RS_Early.B 7007.JPG,256,256,Potato___Early_blight,27,30,239,205
